"Status","Name","Duration in ms","Description"
"passed","","94211",""
"passed","","13812",""
"failed","","101674",""
"failed","","182388",""
"broken","cucumber.api.testng.AbstractTestNGCucumberTests.tearDownClass","1",""
"broken","cucumber.api.testng.AbstractTestNGCucumberTests.feature","107930",""
"broken","cucumber.api.testng.AbstractTestNGCucumberTests.feature","43609",""
"passed","cucumber.api.testng.AbstractTestNGCucumberTests.feature","15281",""
"broken","cucumber.api.testng.AbstractTestNGCucumberTests.setUpClass","1",""
"failed","","34820",""
"unknown","","24",""
"skipped","cucumber.api.testng.AbstractTestNGCucumberTests.feature","2",""
"failed","","42779",""
